fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    | [34m2021-08-20 07:08:50.256 UTC [nodeCmd] serve -> INFO 001[0m Starting peer:
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |  Version: 1.3.0
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |  Commit SHA: 4ece33d
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |  Go version: go1.10.4
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |  OS/Arch: linux/amd64
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |  Experimental features: false
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |  Chaincode:
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |   Base Image Version: 0.4.13
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |   Base Docker Namespace: hyperledger
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |   Base Docker Label: org.hyperledger.fabric
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    |   Docker Namespace: hyperledger
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    | [34m2021-08-20 07:08:50.256 UTC [ledgermgmt] initialize -> INFO 002[0m Initializing ledger mgmt
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    | [34m2021-08-20 07:08:50.256 UTC [kvledger] NewProvider -> INFO 003[0m Initializing ledger provider
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    | [34m2021-08-20 07:08:50.257 UTC [kvledger] NewProvider -> INFO 004[0m ledger provider Initialized
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    | [34m2021-08-20 07:08:50.257 UTC [ledgermgmt] initialize -> INFO 005[0m ledger mgmt initialized
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    | [34m2021-08-20 07:08:50.257 UTC [peer] func1 -> INFO 006[0m Auto-detected peer address: 10.0.2.223:7051
fabric_peer5.1.lvxwttmqwyhd@heming-rdma19    | [34m2021-08-20 07:08:50.257 UTC [peer] func1 -> INFO 007[0m Host is 0.0.0.0 , falling back to auto-detected address: 10.0.2.223:7051
